rid,id,text,term,from,to,category,polarity
1064477,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,4,23,FOOD#STYLE_OPTIONS,positive
1064477,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,26,47,FOOD#QUALITY,positive
1064477,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,26,47,FOOD#PRICES,positive
1074868,1074868:2,Surprisingly nothing could be further from the truth.,NULL,0,0,RESTAURANT#MISCELLANEOUS,positive
1074868,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",crowd,65,70,RESTAURANT#MISCELLANEOUS,positive
1074868,1074868:4,The food was well prepared and the service impecable.,food,4,8,FOOD#QUALITY,positive
1074868,1074868:4,The food was well prepared and the service impecable.,service,35,42,SERVICE#GENERAL,positive
1074868,1074868:5,I'm going back.,NULL,0,0,RESTAURANT#GENERAL,positive
1084394,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,NULL,0,0,AMBIENCE#GENERAL,positive
1084394,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,4,18,FOOD#QUALITY,positive
1084394,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,4,18,FOOD#STYLE_OPTIONS,positive
1084394,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,4,18,FOOD#PRICES,positive
1084394,1084394:4,I will be going back and heartily recommend it!,NULL,0,0,RESTAURANT#GENERAL,positive
1086415,1086415:1,"It is terrific, as is the value.",NULL,0,0,FOOD#QUALITY,positive
1086415,1086415:1,"It is terrific, as is the value.",NULL,0,0,FOOD#PRICES,positive
1086415,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,27,31,FOOD#STYLE_OPTIONS,positive
1086415,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,27,31,FOOD#QUALITY,positive
1086415,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,27,31,FOOD#PRICES,positive
1086415,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",dishes,42,48,FOOD#QUALITY,positive
1086415,1086415:5,Go hungry and enjoy.,NULL,0,0,RESTAURANT#GENERAL,positive
1086478,1086478:0,"The food here is rather good, but only if you like to wait for it.",food,4,8,FOOD#QUALITY,positive
1086478,1086478:0,"The food here is rather good, but only if you like to wait for it.",NULL,0,0,SERVICE#GENERAL,negative
1086478,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,11,18,FOOD#QUALITY,positive
1086478,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chai,20,24,FOOD#QUALITY,positive
1086478,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chole,34,39,FOOD#QUALITY,positive
1086478,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhosas,49,55,FOOD#QUALITY,negative
1086478,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhal,60,64,FOOD#QUALITY,negative
1086478,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,4,11,SERVICE#GENERAL,negative
1086478,1086478:3,"The kitchen however, is almost always slow.",kitchen,4,11,SERVICE#GENERAL,negative
1086478,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",food,31,35,FOOD#QUALITY,negative
1086478,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,4,12,AMBIENCE#GENERAL,positive
1086478,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",NULL,0,0,RESTAURANT#MISCELLANEOUS,positive
1090587,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,80,84,LOCATION#GENERAL,positive
1090587,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,18,25,SERVICE#GENERAL,positive
1090587,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,36,40,FOOD#QUALITY,positive
1090587,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,36,40,FOOD#PRICES,positive
1090587,1090587:3,The lava cake dessert was incredible and I recommend it.,lava cake dessert,4,21,FOOD#QUALITY,positive
1102681,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,19,26,AMBIENCE#GENERAL,positive
1102681,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,10,20,AMBIENCE#GENERAL,positive
1102681,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food,4,8,FOOD#QUALITY,positive
1102681,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,43,60,FOOD#QUALITY,negative
1102681,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,43,60,FOOD#STYLE_OPTIONS,positive
1102681,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",desserts,104,112,FOOD#QUALITY,negative
1102681,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,20,28,AMBIENCE#GENERAL,positive
1102681,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",food,47,51,FOOD#QUALITY,neutral
1118167,1118167:1,IT WAS HORRIBLE.,NULL,0,0,RESTAURANT#GENERAL,negative
1118167,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,4,9,FOOD#QUALITY,negative
1118167,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,cheese,37,43,FOOD#QUALITY,negative
1118167,1118167:3,It looked like shredded cheese partly done - still in strips.,NULL,0,0,FOOD#STYLE_OPTIONS,negative
1119578,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,NULL,0,0,RESTAURANT#GENERAL,negative
1119578,1119578:1,The pizza is overpriced and soggy.,pizza,4,9,FOOD#QUALITY,negative
1119578,1119578:1,The pizza is overpriced and soggy.,pizza,4,9,FOOD#PRICES,negative
1119578,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,20,31,FOOD#QUALITY,positive
1119578,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,80,85,FOOD#QUALITY,negative
1119578,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,122,127,FOOD#QUALITY,negative
1119578,1119578:3,"A big disappointment, all around.",NULL,0,0,RESTAURANT#GENERAL,negative
1123262,1123262:0,I think I've had some the best meals of my life at minnow.,meals,31,36,FOOD#QUALITY,positive
1123262,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,4,11,FOOD#QUALITY,positive
1123262,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",wine list,39,48,DRINKS#STYLE_OPTIONS,positive
1123262,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,72,76,FOOD#STYLE_OPTIONS,positive
1123262,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,31,42,FOOD#QUALITY,positive
1123262,1123262:3,Worth the trip from Manhattan.,NULL,0,0,RESTAURANT#GENERAL,positive
1125006,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,Pastrami,5,13,FOOD#QUALITY,positive
1125006,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,portion,35,42,FOOD#STYLE_OPTIONS,positive
1125006,1125006:3,My wife had the fried shrimp which are huge and loved it.,fried shrimp,16,28,FOOD#STYLE_OPTIONS,positive
1125006,1125006:3,My wife had the fried shrimp which are huge and loved it.,fried shrimp,16,28,FOOD#QUALITY,positive
1125284,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",place,105,110,RESTAURANT#GENERAL,positive
1125284,1125284:1,This place is the most Japanese it can ever get.,place,5,10,RESTAURANT#MISCELLANEOUS,positive
1125284,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs,4,9,RESTAURANT#MISCELLANEOUS,positive
1125284,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,15,29,FOOD#STYLE_OPTIONS,positive
1125284,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,31,35,FOOD#QUALITY,positive
1125284,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,54,63,SERVICE#GENERAL,positive
1125284,1125284:3,This place is worth an one-hour drive.,place,5,10,RESTAURANT#GENERAL,positive
1125284,1125284:4,"I am so coming back here again, as much as I can.",NULL,0,0,RESTAURANT#GENERAL,positive
1126814,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,0,4,RESTAURANT#GENERAL,positive
1126814,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,0,4,AMBIENCE#GENERAL,positive
1126814,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",specials,95,103,FOOD#QUALITY,positive
1126814,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,123,133,AMBIENCE#GENERAL,positive
1126814,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",French bistro fare,70,88,FOOD#QUALITY,positive
1126814,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,89,94,SERVICE#GENERAL,positive
1126814,1126814:3,Decent wine at reasonable prices.,wine,7,11,DRINKS#QUALITY,neutral
1126814,1126814:3,Decent wine at reasonable prices.,wine,7,11,DRINKS#PRICES,positive
1126814,1126814:4,Have been dozens of times and never failed to enjoy the experience.,NULL,0,0,RESTAURANT#GENERAL,positive
1126814,1126814:5,"Our teenage kids love it, too.",NULL,0,0,RESTAURANT#GENERAL,positive
1126886,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Zucchero Pomodori,89,106,RESTAURANT#GENERAL,positive
1126886,1126886:1,This is by far my favorite place in the neighborhood.,place,27,32,RESTAURANT#GENERAL,positive
1126886,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,4,11,SERVICE#GENERAL,positive
1126886,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,30,35,AMBIENCE#GENERAL,positive
1126886,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,54,58,FOOD#QUALITY,positive
1126886,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,91,99,FOOD#STYLE_OPTIONS,positive
1126886,1126886:4,I'm partial to the Gnocchi.,Gnocchi,19,26,RESTAURANT#GENERAL,positive
1131595,1131595:0,This place is incredibly tiny.,place,5,10,RESTAURANT#MISCELLANEOUS,negative
1131595,1131595:1,They refuse to seat parties of 3 or more on weekends.,NULL,0,0,SERVICE#GENERAL,negative
1131595,1131595:2,The hostess is rude to the point of being offensive.,hostess,4,11,SERVICE#GENERAL,negative
1131595,1131595:3,The food was bland oily.,food,4,8,FOOD#QUALITY,negative
1131595,1131595:4,I just don't understand all the hype...,NULL,0,0,RESTAURANT#GENERAL,negative
1138996,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",food,61,65,FOOD#QUALITY,positive
1138996,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",wine,67,71,DRINKS#QUALITY,positive
1138996,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",service,77,84,SERVICE#GENERAL,positive
1138996,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,86,90,SERVICE#GENERAL,positive
1138996,1138996:3,As always we had a great glass of wine while we waited.,glass of wine,25,38,DRINKS#QUALITY,positive
1138996,1138996:4,"When we sat, we got great and fast service.",service,35,42,SERVICE#GENERAL,positive
1138996,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,people,4,10,SERVICE#GENERAL,positive
1138996,1138996:6,Make sure you try this place as often as you can.,place,23,28,RESTAURANT#GENERAL,positive
1145510,1145510:0,This is a fun restaurant to go to.,restaurant,14,24,RESTAURANT#GENERAL,positive
1145510,1145510:1,The pizza is yummy and I like the atmoshpere.,pizza,4,9,FOOD#QUALITY,positive
1145510,1145510:1,The pizza is yummy and I like the atmoshpere.,atmoshpere,34,44,AMBIENCE#GENERAL,positive
1145510,1145510:2,But the pizza is way to expensive.,pizza,8,13,FOOD#PRICES,negative
1145510,1145510:3,"A large is $20, and toppings are about $3 each.",NULL,0,0,FOOD#PRICES,negative
1145510,1145510:3,"A large is $20, and toppings are about $3 each.",toppings,20,28,FOOD#PRICES,negative
1147082,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,17,22,FOOD#QUALITY,negative
1147082,1147082:1,Sauce was watery and the food didn't have much flavor.,Sauce,0,5,FOOD#QUALITY,negative
1147082,1147082:1,Sauce was watery and the food didn't have much flavor.,food,25,29,FOOD#QUALITY,negative
1147082,1147082:3,I don't think I would go again.,NULL,0,0,RESTAURANT#GENERAL,negative
1147211,1147211:0,This place is great.,place,5,10,RESTAURANT#GENERAL,positive
1147211,1147211:1,I had a huge group for my birthday and we were well taken care of.,NULL,0,0,SERVICE#GENERAL,positive
1147211,1147211:2,The waitress was very patient with us and the food is phenomenal!,waitress,4,12,SERVICE#GENERAL,positive
1147211,1147211:2,The waitress was very patient with us and the food is phenomenal!,food,46,50,FOOD#QUALITY,positive
1147211,1147211:3,"Service was prompt, friendly and great.",Service,0,7,SERVICE#GENERAL,positive
1147211,1147211:4,Slightly on the pricey side but worth it!,NULL,0,0,RESTAURANT#PRICES,negative
1147211,1147211:4,Slightly on the pricey side but worth it!,NULL,0,0,RESTAURANT#GENERAL,positive
1153034,1153034:0,Great pizza and fantastic service.,pizza,6,11,FOOD#QUALITY,positive
1153034,1153034:0,Great pizza and fantastic service.,service,26,33,SERVICE#GENERAL,positive
1153034,1153034:1,"There was a small wait, but shorter than I expected.",wait,18,22,SERVICE#GENERAL,positive
1153034,1153034:2,Located at the end of a magnificent block.,block,36,41,LOCATION#GENERAL,positive
1153034,1153034:3,Very cozy and warm inside.....,NULL,0,0,AMBIENCE#GENERAL,positive
1153034,1153034:4,I will be back!,NULL,0,0,RESTAURANT#GENERAL,positive
1154550,1154550:0,This is the best sushi in new york city - hands down.,sushi,17,22,FOOD#QUALITY,positive
1154550,1154550:1,The place is small and cramped but the food is fantastic.,place,4,9,AMBIENCE#GENERAL,negative
1154550,1154550:1,The place is small and cramped but the food is fantastic.,food,39,43,FOOD#QUALITY,positive
1154550,1154550:2,Get the tuna of gari.,tuna of gari,8,20,FOOD#QUALITY,positive
1162037,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,75,80,FOOD#QUALITY,positive
1162037,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,103,112,FOOD#QUALITY,positive
1162037,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",Planet Thailand,0,15,RESTAURANT#GENERAL,positive
1162037,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",menu,30,34,FOOD#STYLE_OPTIONS,positive
1162037,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,4,14,AMBIENCE#GENERAL,neutral
1162037,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",NULL,0,0,RESTAURANT#PRICES,positive
1162037,1162037:3,It's all about the food !!,food,19,23,FOOD#QUALITY,positive
1167434,1167434:1,first it took us a long time to find the place.,place,41,46,RESTAURANT#MISCELLANEOUS,negative
1167434,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,26,30,FOOD#STYLE_OPTIONS,negative
1167434,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,6,11,FOOD#STYLE_OPTIONS,neutral
1167434,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,6,11,FOOD#QUALITY,negative
1167434,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",sashimi,39,46,FOOD#QUALITY,negative
1167434,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",NULL,0,0,FOOD#QUALITY,negative
1175958,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,NULL,0,0,SERVICE#GENERAL,positive
1175958,1175958:1,"Try the crunchy tuna, it is to die for.",crunchy tuna,8,20,FOOD#QUALITY,positive
1175958,1175958:2,"Try everything for that matter, it is all good.",NULL,0,0,FOOD#QUALITY,positive
1175958,1175958:3,I have been going there since it opened and I can't get enough.,NULL,0,0,RESTAURANT#GENERAL,positive
1189674,1189674:0,First went here to enjoy their garden terrace.,garden terrace,31,45,AMBIENCE#GENERAL,positive
1189674,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,4,8,FOOD#QUALITY,positive
1189674,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,30,37,SERVICE#GENERAL,positive
1189674,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,4,17,FOOD#STYLE_OPTIONS,positive
1189674,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",open kitchen,71,83,AMBIENCE#GENERAL,positive
1189674,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",restaurant,34,44,AMBIENCE#GENERAL,negative
1189674,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,6,20,DRINKS#STYLE_OPTIONS,positive
1189674,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,22,30,DRINKS#QUALITY,positive
1189674,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,59,74,DRINKS#PRICES,positive
1189674,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",NULL,0,0,AMBIENCE#GENERAL,neutral
1189674,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,44,48,AMBIENCE#GENERAL,positive
